generation,best_reward,mean_reward,std_reward,best_params
1,5481.112669,3854.00788,1406.812136,"{'learning_rate': 6.459929952567174e-05, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.8860512606909138, 'gae_lambda': 1.1258720100839539, 'clip_range': 0.09293674922750977, 'ent_coef': 0.00572169040904967, 'alpha': 0.6135551704928452, 'beta': 0.3313490849290862, 's_min': 4.351831849923645}"
2,5738.796873,4295.577623,1612.455038,"{'learning_rate': 0.00048212644448820827, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 20, 'gamma': 1.291675632268044, 'gae_lambda': 0.6819571886275084, 'clip_range': 0.3832872015380737, 'ent_coef': 0.006020959033035194, 'alpha': 0.6565761546563401, 'beta': 0.6646140631100093, 's_min': 3.729028270588379}"
3,6208.992759,4298.972426,1586.563752,"{'learning_rate': 0.0004906612217360583, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 20, 'gamma': 1.0077116723408948, 'gae_lambda': 0.8340468062451427, 'clip_range': 0.3180901524676146, 'ent_coef': 0.005581193550839372, 'alpha': 0.7306793120250147, 'beta': 0.7912411708644762, 's_min': 3.13829399897433}"
0,6310.609822,4156.689906,1424.844878,"{'learning_rate': 5.590810182512223e-05, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.005, 'alpha': 0.7, 'beta': 0.3, 's_min': 5.0}"
4,6953.402641,5775.737418,1215.222126,"{'learning_rate': 5.0790933463636486e-05, 'n_steps': 4096, 'batch_size': 128, 'n_epochs': 20, 'gamma': 0.8735300639593447, 'gae_lambda': 0.9948163623501234, 'clip_range': 0.08213821089506233, 'ent_coef': 0.005635812707859969, 'alpha': 0.737949457664695, 'beta': 0.2691539800802098, 's_min': 3.9808047185422724}"
5,8442.626759,6481.892946,1686.520765,"{'learning_rate': 0.0004310231047012053, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.8350043053425098, 'gae_lambda': 0.8046200170925154, 'clip_range': 0.35743467072424734, 'ent_coef': 0.005225125740417496, 'alpha': 0.8963868730625578, 'beta': 0.9384617074520828, 's_min': 3.5038346427294904}"
7,9453.611517,7536.380702,1958.068128,"{'learning_rate': 0.0004946896235870806, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.969303766312435, 'gae_lambda': 0.670352955091674, 'clip_range': 0.36515632168886714, 'ent_coef': 0.006340591642451252, 'alpha': 0.9844200343506909, 'beta': 0.686695124577176, 's_min': 3.196297495651259}"
6,9951.201056,7874.880139,2303.658979,"{'learning_rate': 0.0004529411140663297, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.8227291524922912, 'gae_lambda': 0.8970592849246329, 'clip_range': 0.23162216020278562, 'ent_coef': 0.006634994912300094, 'alpha': 1.047060595471366, 'beta': 0.5147033239721193, 's_min': 4.077469170556947}"
8,10050.79301,8379.626022,2310.942296,"{'learning_rate': 0.0004909639149261721, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.8161293440988728, 'gae_lambda': 1.1841226783771575, 'clip_range': 0.321113661026765, 'ent_coef': 0.004896986127000144, 'alpha': 1.0372576219464327, 'beta': 0.6924075290476118, 's_min': 2.5923827529757846}"
9,11925.58811,9363.934525,2630.018972,"{'learning_rate': 0.0005594100486622986, 'n_steps': 4096, 'batch_size': 32, 'n_epochs': 20, 'gamma': 0.8481857723717343, 'gae_lambda': 0.7742399717380867, 'clip_range': 0.2930019462567711, 'ent_coef': 0.004407688853810782, 'alpha': 1.2362154241537726, 'beta': 0.7084324127471584, 's_min': 3.0518200307984285}"
